"NAME_IN_MODEL","CATEGORY","NAME","PROPERTY_TYPE"
"ASHP","TECHNOLOGY_GROUP","Air-source HP",
"GSHP","TECHNOLOGY_GROUP","Ground-source HP",
"BMBO","TECHNOLOGY_GROUP","Biomass boiler",
"NGBO","TECHNOLOGY_GROUP","Gas boiler",
"H2BO","TECHNOLOGY_GROUP","H2 boiler",
"OIBO","TECHNOLOGY_GROUP","Oil boiler",
"ELRE","TECHNOLOGY_GROUP","Electric resistance heater",
"ELST","TECHNOLOGY_GROUP","Electric storage heater",
"HIUM","TECHNOLOGY_GROUP","Heat interface unit",
"BELO","TECHNOLOGY_GROUP","Building eff. measures (low)",
"BEME","TECHNOLOGY_GROUP","Building eff. measures (mid)",
"BEHI","TECHNOLOGY_GROUP","Building eff. measures (high)",
"BEFF","TECHNOLOGY_AGG","Building retrofit",
,,,
,,,
"NODE_UK|LA|SO","SCENARIOS","No decarbonization",
"NZ_UK|LA|SO","SCENARIOS","Base net-zero",
"NZHP_UK|LA|SO","SCENARIOS","HP",
"NZDH_UK|LA|SO","SCENARIOS","DH",
"NZLP_UK|LA|SO","SCENARIOS","Local Pledges",
"NZHY_UK|LA|SO","SCENARIOS","H2",
,,,
,,,
,,,
"AWHPDNDO00","TECHNOLOGY",,"Non-domestic"
"AAHPDNDO00","TECHNOLOGY",,"Non-domestic"
"ASHPDDFL00","TECHNOLOGY",,"Flats"
"ASHPDDDE00","TECHNOLOGY",,"Detached"
"ASHPDDSD00","TECHNOLOGY",,"Semi-detached"
"ASHPDDTE00","TECHNOLOGY",,"Terraced"
"GSHPDDDE00","TECHNOLOGY",,"Detached"
"GSHPDDSD00","TECHNOLOGY",,"Semi-detached"
"GSHPDDTE00","TECHNOLOGY",,"Terraced"
"GSHPDNDO00","TECHNOLOGY",,"Non-domestic"
"BMBODDDE00","TECHNOLOGY",,"Detached"
"BMBODDSD00","TECHNOLOGY",,"Semi-detached"
"BMBODDTE00","TECHNOLOGY",,"Terraced"
"BMBODNDO00","TECHNOLOGY",,"Non-domestic"
"NGBODDDE00","TECHNOLOGY",,"Detached"
"NGBODDSD00","TECHNOLOGY",,"Semi-detached"
"NGBODDTE00","TECHNOLOGY",,"Terraced"
"NGBODDFL00","TECHNOLOGY",,"Flats"
"NGBODNDO00","TECHNOLOGY",,"Non-domestic"
"H2BODDDE00","TECHNOLOGY",,"Detached"
"H2BODDSD00","TECHNOLOGY",,"Semi-detached"
"H2BODDTE00","TECHNOLOGY",,"Terraced"
"H2BODDFL00","TECHNOLOGY",,"Flats"
"H2BODNDO00","TECHNOLOGY",,"Non-domestic"
"OIBODDDE00","TECHNOLOGY",,"Detached"
"OIBODDSD00","TECHNOLOGY",,"Semi-detached"
"OIBODDTE00","TECHNOLOGY",,"Terraced"
"OIBODDFL00","TECHNOLOGY",,"Flats"
"OIBODNDO00","TECHNOLOGY",,"Non-domestic"
"ELREDDDE00","TECHNOLOGY",,"Detached"
"ELREDDSD00","TECHNOLOGY",,"Semi-detached"
"ELREDDTE00","TECHNOLOGY",,"Terraced"
"ELREDDFL00","TECHNOLOGY",,"Flats"
"ELSTDDDE00","TECHNOLOGY",,"Detached"
"ELSTDDSD00","TECHNOLOGY",,"Semi-detached"
"ELSTDDTE00","TECHNOLOGY",,"Terraced"
"ELSTDDFL00","TECHNOLOGY",,"Flats"
"ELREDNDO00","TECHNOLOGY",,"Non-domestic"
"HIUMDDDE00","TECHNOLOGY",,"Detached"
"HIUMDDSD00","TECHNOLOGY",,"Semi-detached"
"HIUMDDTE00","TECHNOLOGY",,"Terraced"
"HIUMDDFL00","TECHNOLOGY",,"Flats"
"HIUMDNDO00","TECHNOLOGY",,"Non-domestic"
