TECHNOLOGY,RUN,VALUE
AEHPSN,nz-2040_hp-00,4.5498648716263554e-10
AEHPSN,nz-2040_hp-01,0.1454329179968547
AEHPSN,nz-2045_hp-00,3.4895502925587415e-10
AEHPSN,nz-2045_hp-01,0.0006275409709320859
AEHPSN,nz-2050_hp-00,2.238568788112174e-12
AEHPSN,nz-2050_hp-01,0.0005346130684621543
SRHPSN,nz-2040_hp-00,0.0030231216254077153
SRHPSN,nz-2040_hp-01,0.09014983225314961
SRHPSN,nz-2045_hp-00,0.001364508838056479
SRHPSN,nz-2045_hp-01,0.0009725607349896634
SRHPSN,nz-2050_hp-00,1.287428715522359e-11
SRHPSN,nz-2050_hp-01,0.0012091742659237847
