TECHNOLOGY,RUN,VALUE
DHMTTD,nz-2040_hp-00,0.0
DHMTTD,nz-2040_hp-01,0.06953642544338669
DHMTTD,nz-2045_hp-00,0.19111501560584843
DHMTTD,nz-2045_hp-01,0.21772474991259022
DHMTTD,nz-2050_hp-00,0.48850689822896104
DHMTTD,nz-2050_hp-01,0.8603197534956522
ELGRTD,nz-2040_hp-00,0.00019957681410824542
ELGRTD,nz-2040_hp-01,4.644444701934777e-07
ELGRTD,nz-2045_hp-00,6.918645595491503e-06
ELGRTD,nz-2045_hp-01,7.953852624907722e-06
ELGRTD,nz-2050_hp-00,3.946208651178607e-11
ELGRTD,nz-2050_hp-01,0.14768723072865536
ELGRTT,nz-2040_hp-00,0.1314751765994693
ELGRTT,nz-2040_hp-01,0.11018598722555778
ELGRTT,nz-2045_hp-00,0.11580769273995013
ELGRTT,nz-2045_hp-01,0.138817960350307
ELGRTT,nz-2050_hp-00,0.06962829222261804
ELGRTT,nz-2050_hp-01,0.2337864261996421
GAGRTD,nz-2040_hp-00,1.668898596898005e-09
GAGRTD,nz-2040_hp-01,0.0024027537830135586
GAGRTD,nz-2045_hp-00,1.1941132804497473e-09
GAGRTD,nz-2045_hp-01,9.450564579034987e-10
GAGRTD,nz-2050_hp-00,5.1647308897980805e-11
GAGRTD,nz-2050_hp-01,1.6146386509676577e-09
H2GRTT,nz-2040_hp-00,0.001273820745177772
H2GRTT,nz-2040_hp-01,0.06409196667720563
H2GRTT,nz-2045_hp-00,0.000551460579181371
H2GRTT,nz-2045_hp-01,0.0006240137968005875
H2GRTT,nz-2050_hp-00,9.374899040153678e-10
H2GRTT,nz-2050_hp-01,0.0007934697985997179
H2UGTD,nz-2040_hp-00,1.493829235102536e-06
H2UGTD,nz-2040_hp-01,0.00388960628603039
H2UGTD,nz-2045_hp-00,6.752188269471293e-08
H2UGTD,nz-2045_hp-01,1.0361924323234939e-07
H2UGTD,nz-2050_hp-00,4.016733305807233e-11
H2UGTD,nz-2050_hp-01,4.6182397001489686e-08
LFTRTT,nz-2040_hp-00,0.0
LFTRTT,nz-2040_hp-01,0.0
LFTRTT,nz-2045_hp-00,0.0
LFTRTT,nz-2045_hp-01,0.0
LFTRTT,nz-2050_hp-00,0.0
LFTRTT,nz-2050_hp-01,0.0
NGGRTT,nz-2040_hp-00,0.00013066850223100287
NGGRTT,nz-2040_hp-01,0.0006225341674913244
NGGRTT,nz-2045_hp-00,0.001091924302773664
NGGRTT,nz-2045_hp-01,0.0012888796734450989
NGGRTT,nz-2050_hp-00,0.04805960335472895
NGGRTT,nz-2050_hp-01,0.008760892484388404
