REGION,TECHNOLOGY,RUN,VALUE
E06000001,AAHP,nz-2040_hp-00,59.48155297768433
E06000001,AAHP,nz-2040_hp-01,39.52681075202784
E06000001,AAHP,nz-2045_hp-00,61.33544802997875
E06000001,AAHP,nz-2045_hp-01,25.67519966166191
E06000001,AAHP,nz-2050_hp-00,3.3278865895408376e-06
E06000001,AAHP,nz-2050_hp-01,4.756646567982776e-05
E06000001,Air-source HP,nz-2040_hp-00,5889.823079618644
E06000001,Air-source HP,nz-2040_hp-01,5934.002905747443
E06000001,Air-source HP,nz-2045_hp-00,5952.937546475061
E06000001,Air-source HP,nz-2045_hp-01,5472.524809476825
E06000001,Air-source HP,nz-2050_hp-00,5.656529164551031
E06000001,Air-source HP,nz-2050_hp-01,739.2485139714122
E06000001,AWHP,nz-2040_hp-00,3373.570600549681
E06000001,AWHP,nz-2040_hp-01,3438.942473720729
E06000001,AWHP,nz-2045_hp-00,3401.285708716939
E06000001,AWHP,nz-2045_hp-01,2989.0621955671554
E06000001,AWHP,nz-2050_hp-00,639.3209650022357
E06000001,AWHP,nz-2050_hp-01,378.97401093845286
E06000001,Building eff. measures (high),nz-2040_hp-00,2.963193969139642e-05
E06000001,Building eff. measures (high),nz-2040_hp-01,1.766114013869772e-05
E06000001,Building eff. measures (high),nz-2045_hp-00,2.031301787154975e-05
E06000001,Building eff. measures (high),nz-2045_hp-01,1.4412415416550861e-05
E06000001,Building eff. measures (high),nz-2050_hp-00,1.0607783513173466e-06
E06000001,Building eff. measures (high),nz-2050_hp-01,2.943595880598564e-05
E06000001,Building eff. measures (low),nz-2040_hp-00,177.51022292479152
E06000001,Building eff. measures (low),nz-2040_hp-01,155.17597082660492
E06000001,Building eff. measures (low),nz-2045_hp-00,157.5732947221625
E06000001,Building eff. measures (low),nz-2045_hp-01,157.21858133952344
E06000001,Building eff. measures (low),nz-2050_hp-00,26.980497327640435
E06000001,Building eff. measures (low),nz-2050_hp-01,314.9213574992738
E06000001,Building eff. measures (mid),nz-2040_hp-00,5.238600715591147e-05
E06000001,Building eff. measures (mid),nz-2040_hp-01,3.5410891767057735e-05
E06000001,Building eff. measures (mid),nz-2045_hp-00,3.6586594364638e-05
E06000001,Building eff. measures (mid),nz-2045_hp-01,2.631929517002097e-05
