RUN,EMISSION,YEAR,VALUE
nz-2040_hp-00,CD,2015,133083.27321364166
nz-2040_hp-00,CD,2021,125087.62191459906
nz-2040_hp-00,CD,2023,120083.3328222052
nz-2040_hp-00,CD,2025,104223.26999756457
nz-2040_hp-00,CD,2030,81566.03738944686
nz-2040_hp-00,CD,2035,51323.472430213646
nz-2040_hp-00,CD,2040,20414.888794620623
nz-2040_hp-00,CD,2045,1745.1626053568089
nz-2040_hp-00,CD,2050,0.0
nz-2040_hp-00,CD,2055,0.0
nz-2040_hp-00,CD,2060,0.0
nz-2040_hp-01,CD,2015,132619.74458473653
nz-2040_hp-01,CD,2021,127105.64914736823
nz-2040_hp-01,CD,2023,120083.33282277286
nz-2040_hp-01,CD,2025,104223.26999785984
nz-2040_hp-01,CD,2030,81566.03738756926
nz-2040_hp-01,CD,2035,49877.15288772032
nz-2040_hp-01,CD,2040,36251.572173507455
nz-2040_hp-01,CD,2045,13594.339564980753
nz-2040_hp-01,CD,2050,0.0
nz-2040_hp-01,CD,2055,0.0
nz-2040_hp-01,CD,2060,0.0
nz-2045_hp-00,CD,2015,132564.34739806992
nz-2045_hp-00,CD,2021,126828.1930513732
nz-2045_hp-00,CD,2023,120083.3328225729
nz-2045_hp-00,CD,2025,104223.26999771483
nz-2045_hp-00,CD,2030,81566.03738944192
nz-2045_hp-00,CD,2035,53321.64233136992
nz-2045_hp-00,CD,2040,26670.26270681053
nz-2045_hp-00,CD,2045,9708.055272168562
nz-2045_hp-00,CD,2050,0.0
nz-2045_hp-00,CD,2055,0.0
nz-2045_hp-00,CD,2060,0.0
nz-2045_hp-01,CD,2015,132540.07372588458
nz-2045_hp-01,CD,2021,125900.41610267806
nz-2045_hp-01,CD,2023,120083.3328227726
nz-2045_hp-01,CD,2025,104223.26999769213
nz-2045_hp-01,CD,2030,70259.32353753777
nz-2045_hp-01,CD,2035,41188.904236503346
nz-2045_hp-01,CD,2040,19575.87055011542
nz-2045_hp-01,CD,2045,5896.288419645127
nz-2045_hp-01,CD,2050,0.0
nz-2045_hp-01,CD,2055,0.0
nz-2045_hp-01,CD,2060,0.0
nz-2050_hp-00,CD,2015,132537.67400940592
nz-2050_hp-00,CD,2021,140118.43836845105
nz-2050_hp-00,CD,2023,147077.5202723079
nz-2050_hp-00,CD,2025,153449.52907999812
nz-2050_hp-00,CD,2030,107101.85832653128
nz-2050_hp-00,CD,2035,92957.01393432757
nz-2050_hp-00,CD,2040,93152.09922190968
nz-2050_hp-00,CD,2045,95635.75522339375
nz-2050_hp-00,CD,2050,98840.9365978682
nz-2050_hp-00,CD,2055,100689.89653465903
nz-2050_hp-00,CD,2060,110023.01889051116
nz-2050_hp-01,CD,2015,132543.13233768265
nz-2050_hp-01,CD,2021,123853.34277563573
nz-2050_hp-01,CD,2023,120083.33282287195
nz-2050_hp-01,CD,2025,104223.26999759048
nz-2050_hp-01,CD,2030,81566.03738958474
nz-2050_hp-01,CD,2035,58908.804784785694
nz-2050_hp-01,CD,2040,36251.57216716883
nz-2050_hp-01,CD,2045,13594.339564962602
nz-2050_hp-01,CD,2050,0.0
nz-2050_hp-01,CD,2055,0.0
nz-2050_hp-01,CD,2060,0.0
