RUN,REGION,YEAR,VALUE
nz-2040_hp-00,E06000001,2015,497.88612308491406
nz-2040_hp-00,E06000001,2021,661.0416856982148
nz-2040_hp-00,E06000001,2023,584.6664792641128
nz-2040_hp-00,E06000001,2025,522.0746082489534
nz-2040_hp-00,E06000001,2030,527.1112371158164
nz-2040_hp-00,E06000001,2035,524.4651641663907
nz-2040_hp-00,E06000001,2040,511.3692019932003
nz-2040_hp-00,E06000001,2045,486.54651219340576
nz-2040_hp-00,E06000001,2050,492.21242491622917
nz-2040_hp-00,E06000001,2055,476.2228418836404
nz-2040_hp-00,E06000001,2060,704.6293172339962
nz-2040_hp-00,E06000002,2015,458.838530616153
nz-2040_hp-00,E06000002,2021,614.9200467693701
nz-2040_hp-00,E06000002,2023,542.448362789565
nz-2040_hp-00,E06000002,2025,482.955219460456
nz-2040_hp-00,E06000002,2030,489.048153785772
nz-2040_hp-00,E06000002,2035,495.59339409495647
nz-2040_hp-00,E06000002,2040,496.53902834338226
nz-2040_hp-00,E06000002,2045,481.2691243052001
nz-2040_hp-00,E06000002,2050,473.85725512215004
nz-2040_hp-00,E06000002,2055,468.93031316958536
nz-2040_hp-00,E06000002,2060,705.0411844328903
nz-2040_hp-00,E06000003,2015,531.065231596796
nz-2040_hp-00,E06000003,2021,696.3060583428778
nz-2040_hp-00,E06000003,2023,627.2218400406241
nz-2040_hp-00,E06000003,2025,551.4366500752765
nz-2040_hp-00,E06000003,2030,555.2356345009689
nz-2040_hp-00,E06000003,2035,541.4764737849606
nz-2040_hp-00,E06000003,2040,513.2614860322209
nz-2040_hp-00,E06000003,2045,479.3454066501466
nz-2040_hp-00,E06000003,2050,471.5142085060747
nz-2040_hp-00,E06000003,2055,466.89415846003396
nz-2040_hp-00,E06000003,2060,741.1587996255222
nz-2040_hp-00,E06000004,2015,490.61572171565814
nz-2040_hp-00,E06000004,2021,649.1907629606524
nz-2040_hp-00,E06000004,2023,575.4837046051615
nz-2040_hp-00,E06000004,2025,513.7939010900398
nz-2040_hp-00,E06000004,2030,520.353462176603
nz-2040_hp-00,E06000004,2035,515.9106547804172
nz-2040_hp-00,E06000004,2040,501.47442275392217
nz-2040_hp-00,E06000004,2045,482.2018671784233
nz-2040_hp-00,E06000004,2050,474.30998512457546
nz-2040_hp-00,E06000004,2055,461.4668842399642
nz-2040_hp-00,E06000004,2060,695.4378697437181
nz-2040_hp-00,E06000005,2015,538.1093004859317
nz-2040_hp-00,E06000005,2021,705.8790564401177
nz-2040_hp-00,E06000005,2023,631.5142368007766
nz-2040_hp-00,E06000005,2025,558.4471856533016
nz-2040_hp-00,E06000005,2030,563.8896485585132
nz-2040_hp-00,E06000005,2035,556.5551772762626
nz-2040_hp-00,E06000005,2040,537.4860705005914
nz-2040_hp-00,E06000005,2045,503.5408848258665
nz-2040_hp-00,E06000005,2050,506.86980381573414
nz-2040_hp-00,E06000005,2055,497.84062595018463
nz-2040_hp-00,E06000005,2060,805.3515240030302
nz-2040_hp-00,E06000006,2015,417.8362871252421
nz-2040_hp-00,E06000006,2021,554.5221976888179
nz-2040_hp-00,E06000006,2023,487.77383338666783
nz-2040_hp-00,E06000006,2025,435.93878191033855
nz-2040_hp-00,E06000006,2030,440.5170772753067
nz-2040_hp-00,E06000006,2035,442.10608189156994
nz-2040_hp-00,E06000006,2040,441.04025845744303
nz-2040_hp-00,E06000006,2045,421.9506305086859
nz-2040_hp-00,E06000006,2050,412.5150774731381
nz-2040_hp-00,E06000006,2055,401.7225853257876
