REGION,PROPERTY_TYPE,YEAR,VALUE
E06000001,Detached,2015,5733.666666666667
E06000001,Detached,2021,6110.5
E06000001,Detached,2023,6144.5
E06000001,Detached,2025,6205.0
E06000001,Detached,2030,6313.4
E06000001,Detached,2035,6406.0
E06000001,Detached,2040,6467.4
E06000001,Detached,2045,6513.0
E06000001,Detached,2050,6562.2
E06000001,Detached,2055,6613.8
E06000001,Detached,2060,6636.0
E06000001,Flats,2015,5672.166666666667
E06000001,Flats,2021,5746.0
E06000001,Flats,2023,5776.0
E06000001,Flats,2025,5831.2
E06000001,Flats,2030,5928.0
E06000001,Flats,2035,6019.8
E06000001,Flats,2040,6074.0
E06000001,Flats,2045,6117.2
E06000001,Flats,2050,6165.4
E06000001,Flats,2055,6214.8
E06000001,Flats,2060,6244.0
E06000001,Semi-detached,2015,14662.666666666666
E06000001,Semi-detached,2021,14944.0
E06000001,Semi-detached,2023,15030.5
E06000001,Semi-detached,2025,15185.0
E06000001,Semi-detached,2030,15430.8
E06000001,Semi-detached,2035,15663.0
E06000001,Semi-detached,2040,15807.8
E06000001,Semi-detached,2045,15927.6
E06000001,Semi-detached,2050,16052.6
E06000001,Semi-detached,2055,16176.6
E06000001,Semi-detached,2060,16256.0
E06000001,Terraced,2015,17407.0
E06000001,Terraced,2021,17571.5
E06000001,Terraced,2023,17671.5
E06000001,Terraced,2025,17848.6
E06000001,Terraced,2030,18142.8
E06000001,Terraced,2035,18416.8
E06000001,Terraced,2040,18586.6
E06000001,Terraced,2045,18726.4
E06000001,Terraced,2050,18869.4
E06000001,Terraced,2055,19019.6
E06000001,Terraced,2060,19100.0
E06000002,Detached,2015,6157.666666666667
E06000002,Detached,2021,6859.0
E06000002,Detached,2023,6857.5
E06000002,Detached,2025,6873.4
E06000002,Detached,2030,6921.0
E06000002,Detached,2035,6973.0
E06000002,Detached,2040,7011.8
E06000002,Detached,2045,7039.4
E06000002,Detached,2050,7060.6
E06000002,Detached,2055,7075.6
E06000002,Detached,2060,7097.0
E06000002,Flats,2015,8972.5
E06000002,Flats,2021,9113.5
E06000002,Flats,2023,9116.0
E06000002,Flats,2025,9137.4
E06000002,Flats,2030,9197.8
E06000002,Flats,2035,9270.2
E06000002,Flats,2040,9316.8
E06000002,Flats,2045,9349.2
E06000002,Flats,2050,9379.6
E06000002,Flats,2055,9404.4
E06000002,Flats,2060,9425.0
E06000002,Semi-detached,2015,25052.166666666668
E06000002,Semi-detached,2021,25456.0
E06000002,Semi-detached,2023,25479.0
E06000002,Semi-detached,2025,25531.8
E06000002,Semi-detached,2030,25702.0
E06000002,Semi-detached,2035,25904.4
E06000002,Semi-detached,2040,26027.4
E06000002,Semi-detached,2045,26111.2
E06000002,Semi-detached,2050,26202.6
E06000002,Semi-detached,2055,26291.8
E06000002,Semi-detached,2060,26343.0
E06000002,Terraced,2015,22899.5
E06000002,Terraced,2021,22739.5
E06000002,Terraced,2023,22756.0
E06000002,Terraced,2025,22804.2
E06000002,Terraced,2030,22957.6
E06000002,Terraced,2035,23135.6
E06000002,Terraced,2040,23249.4
E06000002,Terraced,2045,23328.2
E06000002,Terraced,2050,23407.0
E06000002,Terraced,2055,23484.8
E06000002,Terraced,2060,23528.0
