YEAR,RUN,TECHNOLOGY,VALUE
2015,nz-2040_hp-00,Gas boiler,1225109.6837723968
2015,nz-2040_hp-00,Oil boiler,80259.16520770479
2015,nz-2040_hp-00,Electric storage heater,45679.47402707155
2015,nz-2040_hp-00,Electric resistance heater,116655.14741163704
2015,nz-2040_hp-00,Biomass boiler,7127.688570612171
2015,nz-2040_hp-00,Heat interface unit,19275.3329639378
2015,nz-2040_hp-00,Air-source HP,53498.95677837828
2015,nz-2040_hp-00,Ground-source HP,1657.559638466787
2015,nz-2040_hp-00,H2 boiler,0.0
2015,nz-2040_hp-00,Building retrofit,0.0
2015,nz-2040_hp-01,Gas boiler,1225110.5815261386
2015,nz-2040_hp-01,Oil boiler,80259.16492997993
2015,nz-2040_hp-01,Electric storage heater,45980.28138297272
2015,nz-2040_hp-01,Electric resistance heater,108195.75963181272
2015,nz-2040_hp-01,Biomass boiler,9244.652701362185
2015,nz-2040_hp-01,Heat interface unit,25316.0473179963
2015,nz-2040_hp-01,Air-source HP,53498.95670943761
2015,nz-2040_hp-01,Ground-source HP,1657.5597804544104
2015,nz-2040_hp-01,H2 boiler,0.0
2015,nz-2040_hp-01,Building retrofit,0.0
2015,nz-2045_hp-00,Gas boiler,1225110.700152737
2015,nz-2045_hp-00,Oil boiler,80259.1654344979
2015,nz-2045_hp-00,Electric storage heater,45980.47245203857
2015,nz-2045_hp-00,Electric resistance heater,107567.9336954795
2015,nz-2045_hp-00,Biomass boiler,9724.737166034374
2015,nz-2045_hp-00,Heat interface unit,25463.481558429638
2015,nz-2045_hp-00,Air-source HP,53498.95587738567
2015,nz-2045_hp-00,Ground-source HP,1657.5597795995347
2015,nz-2045_hp-00,H2 boiler,0.0
2015,nz-2045_hp-00,Building retrofit,0.0
2015,nz-2045_hp-01,Gas boiler,1225110.7008627402
2015,nz-2045_hp-01,Oil boiler,80259.16584369933
2015,nz-2045_hp-01,Electric storage heater,45987.380490162
2015,nz-2045_hp-01,Electric resistance heater,107215.54822984785
2015,nz-2045_hp-01,Biomass boiler,9881.151536015008
2015,nz-2045_hp-01,Heat interface unit,25652.543700610062
2015,nz-2045_hp-01,Air-source HP,53498.95322444522
2015,nz-2045_hp-01,Ground-source HP,1657.5598280244044
2015,nz-2045_hp-01,H2 boiler,0.0
2015,nz-2045_hp-01,Building retrofit,0.0
2015,nz-2050_hp-00,Gas boiler,1225110.7929382604
2015,nz-2050_hp-00,Oil boiler,80259.16904746037
2015,nz-2050_hp-00,Electric storage heater,45988.53859856464
2015,nz-2050_hp-00,Electric resistance heater,107106.062120905
2015,nz-2050_hp-00,Biomass boiler,9883.199886885266
2015,nz-2050_hp-00,Heat interface unit,25758.722703895593
2015,nz-2050_hp-00,Air-source HP,53498.95369116429
2015,nz-2050_hp-00,Ground-source HP,1657.560163792353
2015,nz-2050_hp-00,H2 boiler,0.0
2015,nz-2050_hp-00,Building retrofit,0.0
2015,nz-2050_hp-01,Gas boiler,1225110.7222722708
2015,nz-2050_hp-01,Oil boiler,80259.16414348528
2015,nz-2050_hp-01,Electric storage heater,45990.6494556342
2015,nz-2050_hp-01,Electric resistance heater,107190.00504143313
2015,nz-2050_hp-01,Biomass boiler,9844.567500998715
2015,nz-2050_hp-01,Heat interface unit,25711.381487727525
2015,nz-2050_hp-01,Air-source HP,53498.955845605815
2015,nz-2050_hp-01,Ground-source HP,1657.559684776501
2015,nz-2050_hp-01,H2 boiler,0.0
2015,nz-2050_hp-01,Building retrofit,0.0
2023,nz-2040_hp-00,Gas boiler,1262046.9148435995
