TECHNOLOGY,RUN,YEAR,VALUE
Energy supply,nz-2040_hp-00,2015,10.021119792576082
Energy supply,nz-2040_hp-00,2023,13.490848663222073
Energy supply,nz-2040_hp-00,2025,10.661982358163034
Energy supply,nz-2040_hp-00,2030,9.949642115923227
Energy supply,nz-2040_hp-00,2035,9.199433380691893
Energy supply,nz-2040_hp-00,2040,8.529474846606501
Energy supply,nz-2040_hp-00,2045,8.482676302624531
Energy supply,nz-2040_hp-00,2050,8.500999982727992
Energy supply,nz-2040_hp-00,2055,8.922546341224622
Energy supply,nz-2040_hp-01,2015,10.002828166779443
Energy supply,nz-2040_hp-01,2023,13.269566445367134
Energy supply,nz-2040_hp-01,2025,10.551126869499962
Energy supply,nz-2040_hp-01,2030,9.857502682503352
Energy supply,nz-2040_hp-01,2035,9.199811138848794
Energy supply,nz-2040_hp-01,2040,10.049294400835011
Energy supply,nz-2040_hp-01,2045,9.989294902213347
Energy supply,nz-2040_hp-01,2050,11.077704919693556
Energy supply,nz-2040_hp-01,2055,12.261433908223333
Energy supply,nz-2045_hp-00,2015,10.021983500798722
Energy supply,nz-2045_hp-00,2023,13.285253185633987
Energy supply,nz-2045_hp-00,2025,10.551907160356036
Energy supply,nz-2045_hp-00,2030,9.841552834214403
Energy supply,nz-2045_hp-00,2035,9.235893158765146
Energy supply,nz-2045_hp-00,2040,8.535521047214994
Energy supply,nz-2045_hp-00,2045,8.183205947360468
Energy supply,nz-2045_hp-00,2050,8.734547933330239
Energy supply,nz-2045_hp-00,2055,8.98720217174553
Energy supply,nz-2045_hp-01,2015,9.970147376398236
Energy supply,nz-2045_hp-01,2023,13.415515385164957
Energy supply,nz-2045_hp-01,2025,10.784891509942533
Energy supply,nz-2045_hp-01,2030,9.829722470785928
Energy supply,nz-2045_hp-01,2035,9.359024913865463
Energy supply,nz-2045_hp-01,2040,8.54445575154686
Energy supply,nz-2045_hp-01,2045,8.244602376936994
Energy supply,nz-2045_hp-01,2050,9.18245602341126
Energy supply,nz-2045_hp-01,2055,8.19639517115247
Energy supply,nz-2050_hp-00,2015,9.95054664738541
Energy supply,nz-2050_hp-00,2023,12.658991785709986
Energy supply,nz-2050_hp-00,2025,11.846895402296338
Energy supply,nz-2050_hp-00,2030,10.899469844440866
Energy supply,nz-2050_hp-00,2035,10.979614235357296
Energy supply,nz-2050_hp-00,2040,11.6177136902576
Energy supply,nz-2050_hp-00,2045,11.47319588773028
Energy supply,nz-2050_hp-00,2050,12.09766095166251
Energy supply,nz-2050_hp-00,2055,11.970628488951641
Energy supply,nz-2050_hp-01,2015,10.298823581524537
Energy supply,nz-2050_hp-01,2023,13.671161709505139
Energy supply,nz-2050_hp-01,2025,10.817313301901711
Energy supply,nz-2050_hp-01,2030,10.27390089280447
Energy supply,nz-2050_hp-01,2035,10.64141012757871
Energy supply,nz-2050_hp-01,2040,11.069543516287876
Energy supply,nz-2050_hp-01,2045,11.628852603377577
Energy supply,nz-2050_hp-01,2050,13.3934828999782
Energy supply,nz-2050_hp-01,2055,12.621274636204387
Networks,nz-2040_hp-00,2015,9.239690640910064
Networks,nz-2040_hp-00,2023,11.909094473981254
Networks,nz-2040_hp-00,2025,9.400806304978397
Networks,nz-2040_hp-00,2030,8.784979229007853
Networks,nz-2040_hp-00,2035,7.007812879257796
Networks,nz-2040_hp-00,2040,4.420006103075827
Networks,nz-2040_hp-00,2045,2.639464997690576
Networks,nz-2040_hp-00,2050,2.496704092579122
Networks,nz-2040_hp-00,2055,2.4237486848658776
Networks,nz-2040_hp-01,2015,8.454651094844703
Networks,nz-2040_hp-01,2023,11.027930481862258
Networks,nz-2040_hp-01,2025,8.478507169070397
Networks,nz-2040_hp-01,2030,7.730303567274089
Networks,nz-2040_hp-01,2035,6.216936440972593
Networks,nz-2040_hp-01,2040,4.642606427870281
Networks,nz-2040_hp-01,2045,4.222046909574447
Networks,nz-2040_hp-01,2050,4.235805778708869
Networks,nz-2040_hp-01,2055,4.189008482649606
Networks,nz-2045_hp-00,2015,9.363993220166842
Networks,nz-2045_hp-00,2023,11.985702572390817
Networks,nz-2045_hp-00,2025,9.309162713590952
Networks,nz-2045_hp-00,2030,8.725198210978451
Networks,nz-2045_hp-00,2035,6.935984262061772
Networks,nz-2045_hp-00,2040,4.472633358882634
Networks,nz-2045_hp-00,2045,2.60608826485603
Networks,nz-2045_hp-00,2050,2.4511478806489695
Networks,nz-2045_hp-00,2055,2.3741532506780274
Networks,nz-2045_hp-01,2015,11.019332649558535
Networks,nz-2045_hp-01,2023,12.939110912742708
Networks,nz-2045_hp-01,2025,9.36184336232997
Networks,nz-2045_hp-01,2030,7.246731278955518
Networks,nz-2045_hp-01,2035,5.8579749189269394
Networks,nz-2045_hp-01,2040,4.1871895231224165
Networks,nz-2045_hp-01,2045,2.584539352722265
