RUN,TECHNOLOGY,VALUE
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Building retrofit,0.3987021077004654
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Electric heating,0.12555612481949724
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Fossil fuel boilers,0.9440388069171105
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Heat interface,0.19646795595866456
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Heat pumps,6.569348922809796
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Others,0.08568062471498772
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Wet heating system,1.5023878886451585
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,Building retrofit,0.4305189621594417
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,Electric heating,0.33086757609364364
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,Fossil fuel boilers,0.8457418410775519
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,Heat interface,0.21607825777261624
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,Heat pumps,6.5909060572213995
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,Others,0.12389742527253118
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,Wet heating system,1.4664268326777696
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,Building retrofit,0.43599348871908655
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,Electric heating,0.26182114360124104
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,Fossil fuel boilers,0.8712694031049977
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,Heat interface,0.11161723838875193
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,Heat pumps,5.877582095325695
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,Others,0.8809216314031182
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,Wet heating system,1.3988633888325346
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,Building retrofit,0.41156274457065867
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,Electric heating,0.4272022816034664
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,Fossil fuel boilers,1.0474155277246255
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,Heat interface,0.014844315198207423
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,Heat pumps,6.602365933863121
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,Others,0.08560781449522414
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,Wet heating system,1.453149912721728
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,Building retrofit,0.41112021447638064
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,Electric heating,0.06068154447660505
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,Fossil fuel boilers,1.0282334388555507
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,Heat interface,0.013955090980586792
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,Heat pumps,6.038766040689603
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,Others,0.8197588177198063
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,Wet heating system,1.4412243248298033
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,Building retrofit,0.4324979849353715
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,Electric heating,0.6807523271961851
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,Fossil fuel boilers,0.9353146829048467
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,Heat interface,0.01578043173991432
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,Heat pumps,6.737267612559149
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,Others,0.08627691483550348
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,Wet heating system,1.4341981017902226
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,Building retrofit,0.4399346450828112
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,Electric heating,0.3821096977037531
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,Fossil fuel boilers,0.9186711985575027
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,Heat interface,0.013592715659438374
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,Heat pumps,6.020509764143816
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,Others,0.8751527841008656
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,Wet heating system,1.393848990429293
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,Building retrofit,0.5613029660692055
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,Electric heating,2.22936863831452
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,Fossil fuel boilers,0.9130867258440768
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,Heat interface,0.583148061198603
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,Heat pumps,0.7352054271861409
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,Others,0.034708007879400246
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,Wet heating system,0.32605382779880027
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,Building retrofit,0.5629998189905235
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,Electric heating,1.659035047938074
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,Fossil fuel boilers,0.9365011288705135
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,Heat interface,0.5345570856690803
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,Heat pumps,0.7237591306392163
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,Others,0.5264589792948853
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,Wet heating system,0.36578149438953417
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,Building retrofit,0.5399478024864194
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,Electric heating,2.566986539940314
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,Fossil fuel boilers,0.8455650968820018
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,Heat interface,0.5765484484734329
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,Heat pumps,0.7362507563580567
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,Others,0.042840514610158524
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,Wet heating system,0.3425776870385416
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,Building retrofit,0.5330978495606131
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,Electric heating,2.038772775941368
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,Fossil fuel boilers,0.892048175954314
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,Heat interface,0.5065448656886387
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,Heat pumps,0.73128839927554
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,Others,0.5368325640732982
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,Wet heating system,0.3662677557134899
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,Building retrofit,0.5668000782781847
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,Electric heating,3.718377577965134
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,Fossil fuel boilers,1.0504211961854846
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,Heat interface,0.01396325203974855
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,Heat pumps,0.7331621916623152
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,Others,0.06436428154863814
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,Wet heating system,0.178183567846829
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,Building retrofit,0.5705610684816587
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,Electric heating,2.964209090904035
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,Fossil fuel boilers,1.0801091507099492
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,Heat interface,0.01319135987722402
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,Heat pumps,0.7295202054300864
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,Others,0.5795728080480168
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,Wet heating system,0.2001619267626892
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,Building retrofit,0.5391554112007394
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,Electric heating,3.9660045918847078
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,Fossil fuel boilers,1.0810933167274404
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,Heat interface,0.015303216816872117
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,Heat pumps,0.7331398349218331
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,Others,0.0841243301308092
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,Wet heating system,0.2510298833518418
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,Building retrofit,0.5375991181542905
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,Electric heating,3.236741516283586
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,Fossil fuel boilers,1.08826334709282
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,Heat interface,0.013425112187071776
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,Heat pumps,0.7369059105386504
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,Others,0.6116473679534978
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,Wet heating system,0.26075525427283897
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Building retrofit,0.37995719476417045
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Electric heating,0.08003234616714339
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Fossil fuel boilers,1.0531563394666172
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Heat interface,0.25632371857295677
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Heat pumps,6.100919138527869
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Others,0.3136492674991222
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,Wet heating system,1.4575845702762127
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,Building retrofit,0.38207701231715274
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,Electric heating,0.010818899443828403
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,Fossil fuel boilers,1.0155631427181353
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,Heat interface,0.11848085365923748
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,Heat pumps,5.799106290115043
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,Others,0.8656012868360805
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,Wet heating system,1.426199018472828
nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,Building retrofit,0.4222337275792121
