RUN,TECHNOLOGY,VALUE
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,AEHPSN,0.00094255984198483
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,SRHPSN,2.635675364442143e-07
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,AEHPSN,0.0010441455759827648
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,SRHPSN,7.369295019608032e-05
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,AEHPSN,0.24187245622056938
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,SRHPSN,0.01026228177885412
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,AEHPSN,0.0019424218272419446
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,SRHPSN,0.0006537453788316089
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,AEHPSN,0.2617959517291584
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,SRHPSN,0.019536683210224108
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,AEHPSN,0.00220203226413563
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,SRHPSN,0.0007528723191709754
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,AEHPSN,0.26666011381031746
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,SRHPSN,0.013378079156551608
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,AEHPSN,0.0016003761776464667
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,SRHPSN,5.647544986545233e-13
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,AEHPSN,0.3178547866562699
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,SRHPSN,2.6385100801242806e-10
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,AEHPSN,0.0028578751756412487
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,SRHPSN,9.689636654168682e-05
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,AEHPSN,0.3096859311460989
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,SRHPSN,0.0008398633301576166
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,AEHPSN,0.005442997789670165
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,SRHPSN,1.5543573913275175e-12
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,AEHPSN,0.31650219398997115
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,SRHPSN,7.963989699205277e-12
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,AEHPSN,0.005004511158975313
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,SRHPSN,0.0007499178089905847
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,AEHPSN,0.2998594806474973
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,SRHPSN,0.0017037052879181269
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,AEHPSN,0.0007736511023323626
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,SRHPSN,0.001033326452046107
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,AEHPSN,0.18750632218050095
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,SRHPSN,0.07847091058708675
nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,AEHPSN,0.0009885538157920109
nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,SRHPSN,0.0007181285880462294
nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,AEHPSN,0.1716980986068567
nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,SRHPSN,0.06519832864352779
nz-2050_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,AEHPSN,0.2024750718914273
nz-2050_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,SRHPSN,0.07960518235534354
nz-2050_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,AEHPSN,0.0020089817431121607
nz-2050_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,SRHPSN,0.0016434989431576314
nz-2050_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,AEHPSN,0.20733479026541288
nz-2050_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,SRHPSN,0.06277813830333401
nz-2050_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,AEHPSN,0.00101429018873925
nz-2050_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,SRHPSN,0.0005357105569639014
nz-2050_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,AEHPSN,0.29408082831176
nz-2050_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,SRHPSN,0.04150941424963926
nz-2050_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,AEHPSN,0.0029243938466487194
nz-2050_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,SRHPSN,0.0019346670292495296
nz-2050_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,AEHPSN,0.24917274239228976
nz-2050_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,SRHPSN,0.10109849970255701
nz-2050_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,AEHPSN,0.0031042669630095606
nz-2050_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,SRHPSN,0.0057432546277880895
nz-2050_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,AEHPSN,0.2177166874320682
nz-2050_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,SRHPSN,0.14162131843999423
nz-2050_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,AEHPSN,0.004357419123879582
nz-2050_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,SRHPSN,0.005241251169713158
nz-2050_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,AEHPSN,0.208621505556841
nz-2050_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,SRHPSN,0.16168629420426753
