REGION,TECHNOLOGY,RUN,VALUE
E06000001,BMBOSD,nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,1.7113571305277094e-05
E06000001,BMBOSD,nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,2.4383269689958e-05
E06000001,BMBOSD,nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,2.2106419713063436e-05
E06000001,BMBOSD,nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,5.888146264895763e-12
E06000001,BMBOSD,nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,1.8863182832465357e-06
E06000001,BMBOSD,nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,9.933526184946176e-05
E06000001,BMBOSD,nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,0.00010078700095203336
E06000001,BMBOSD,nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,0.00011276151169610725
E06000001,BMBOSD,nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,1.764844475556039e-06
E06000001,BMBOSD,nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,3.200716710001966e-06
E06000001,BMBOSD,nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,2.05732576413568e-06
E06000001,BMBOSD,nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,2.6335448317401797e-06
E06000001,BMBOSD,nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,1.4115365682886315e-05
E06000001,BMBOSD,nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,2.322274197676393e-05
E06000001,BMBOSD,nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,2.9620925388599642e-05
E06000001,BMBOSD,nz-2050_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,1.282741304200344e-06
E06000001,BMBOSD,nz-2050_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,1.732876031639746e-11
E06000001,BMBOSD,nz-2050_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,1.2903644929422398e-06
E06000001,BMBOSD,nz-2050_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,6.662508015851795e-05
E06000001,BMBOSD,nz-2050_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,7.409289075744325e-05
E06000001,BMBOSD,nz-2050_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,9.27742300720267e-05
E06000001,BMBOSD,nz-2050_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,8.004079112674098e-05
E06000001,BMBOSD,nz-2050_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,5.175661988690123e-07
E06000001,BMBOSD,nz-2050_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,1.4697069996168714e-06
E06000001,BMBOSD,nz-2050_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,9.10494106077767e-07
E06000001,BMBOSD,nz-2050_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,1.2620525505661562e-06
E06000001,NGBOSD,nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,8.457201661206084e-06
E06000001,NGBOSD,nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,1.98395326355129e-05
E06000001,NGBOSD,nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,1.3040299362900479e-05
E06000001,NGBOSD,nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,4.293843599953591e-07
E06000001,NGBOSD,nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,9.189087175741484e-07
E06000001,NGBOSD,nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,2.9429804052233034e-05
E06000001,NGBOSD,nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,3.9048949772977824e-05
E06000001,NGBOSD,nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,3.796546110083125e-05
E06000001,NGBOSD,nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,5.7884923200058e-07
E06000001,NGBOSD,nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,7.200778997553574e-07
E06000001,NGBOSD,nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,5.552595005021011e-07
E06000001,NGBOSD,nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,7.603988747414484e-07
E06000001,NGBOSD,nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,1.2761294910258105e-05
E06000001,NGBOSD,nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,4.593107885821679e-05
E06000001,NGBOSD,nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,3.188377804664778e-05
E06000001,NGBOSD,nz-2050_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,1.1231874330332525e-06
E06000001,NGBOSD,nz-2050_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,6.669819930208581e-07
E06000001,NGBOSD,nz-2050_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,1.0826964251269845e-06
E06000001,NGBOSD,nz-2050_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,6.094934885487956e-05
E06000001,NGBOSD,nz-2050_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,6.017390592179758e-05
E06000001,NGBOSD,nz-2050_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,0.00010878243333861384
E06000001,NGBOSD,nz-2050_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,6.259682664058981e-05
E06000001,NGBOSD,nz-2050_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,1.0454457767915068e-06
E06000001,NGBOSD,nz-2050_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,1.1675080568515729e-06
E06000001,NGBOSD,nz-2050_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,1.218785847200921e-06
