TECHNOLOGY,RUN,REGION,VALUE
AEHPSN,nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,UK,0.00094255984198483
AEHPSN,nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,UK,0.0010441455759827648
AEHPSN,nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,UK,0.24187245622056938
AEHPSN,nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,UK,0.0019424218272419446
AEHPSN,nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,UK,0.2617959517291584
AEHPSN,nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,UK,0.00220203226413563
AEHPSN,nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,UK,0.26666011381031746
AEHPSN,nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,UK,0.0016003761776464667
AEHPSN,nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,UK,0.3178547866562699
AEHPSN,nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,UK,0.0028578751756412487
AEHPSN,nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,UK,0.3096859311460989
AEHPSN,nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,UK,0.005442997789670165
AEHPSN,nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,UK,0.31650219398997115
AEHPSN,nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,UK,0.005004511158975313
AEHPSN,nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,UK,0.2998594806474973
AEHPSN,nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,UK,0.0007736511023323626
AEHPSN,nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,UK,0.18750632218050095
AEHPSN,nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,UK,0.0009885538157920109
AEHPSN,nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,UK,0.1716980986068567
AEHPSN,nz-2050_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,UK,0.2024750718914273
AEHPSN,nz-2050_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,UK,0.0020089817431121607
AEHPSN,nz-2050_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,UK,0.20733479026541288
AEHPSN,nz-2050_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,UK,0.00101429018873925
AEHPSN,nz-2050_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,UK,0.29408082831176
AEHPSN,nz-2050_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,UK,0.0029243938466487194
AEHPSN,nz-2050_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,UK,0.24917274239228976
AEHPSN,nz-2050_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,UK,0.0031042669630095606
AEHPSN,nz-2050_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,UK,0.2177166874320682
AEHPSN,nz-2050_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,UK,0.004357419123879582
AEHPSN,nz-2050_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,UK,0.208621505556841
SRHPSN,nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,UK,2.635675364442143e-07
SRHPSN,nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,UK,7.369295019608032e-05
SRHPSN,nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,UK,0.01026228177885412
SRHPSN,nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,UK,0.0006537453788316089
SRHPSN,nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,UK,0.019536683210224108
SRHPSN,nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,UK,0.0007528723191709754
SRHPSN,nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,UK,0.013378079156551608
SRHPSN,nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,UK,5.647544986545233e-13
SRHPSN,nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,UK,2.6385100801242806e-10
SRHPSN,nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,UK,9.689636654168682e-05
SRHPSN,nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,UK,0.0008398633301576166
SRHPSN,nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,UK,1.5543573913275175e-12
SRHPSN,nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,UK,7.963989699205277e-12
SRHPSN,nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,UK,0.0007499178089905847
SRHPSN,nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,UK,0.0017037052879181269
SRHPSN,nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,UK,0.001033326452046107
SRHPSN,nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,UK,0.07847091058708675
SRHPSN,nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,UK,0.0007181285880462294
SRHPSN,nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,UK,0.06519832864352779
SRHPSN,nz-2050_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,UK,0.07960518235534354
SRHPSN,nz-2050_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,UK,0.0016434989431576314
SRHPSN,nz-2050_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,UK,0.06277813830333401
SRHPSN,nz-2050_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,UK,0.0005357105569639014
SRHPSN,nz-2050_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,UK,0.04150941424963926
