,RUN,REGION,EMISSION,VALUE
0,DH,E06000001,CD,2045
1,DH,E06000002,CD,2045
2,DH,E06000003,CD,2045
3,DH,E06000004,CD,2045
4,DH,E06000005,CD,2045
5,DH,E06000006,CD,2045
6,DH,E06000007,CD,2045
7,DH,E06000008,CD,2045
8,DH,E06000009,CD,2045
9,DH,E06000010,CD,2045
10,DH,E06000011,CD,2045
11,DH,E06000012,CD,2045
12,DH,E06000013,CD,2045
13,DH,E06000014,CD,2045
14,DH,E06000015,CD,2045
15,DH,E06000016,CD,2045
16,DH,E06000017,CD,2045
17,DH,E06000018,CD,2045
18,DH,E06000019,CD,2045
19,DH,E06000020,CD,2045
20,DH,E06000021,CD,2045
21,DH,E06000022,CD,2045
22,DH,E06000023,CD,2045
23,DH,E06000024,CD,2045
24,DH,E06000025,CD,2045
25,DH,E06000026,CD,2045
26,DH,E06000027,CD,2045
27,DH,E06000030,CD,2045
28,DH,E06000031,CD,2045
29,DH,E06000032,CD,2045
30,DH,E06000033,CD,2045
31,DH,E06000034,CD,2045
32,DH,E06000035,CD,2045
33,DH,E06000036,CD,2045
34,DH,E06000037,CD,2045
35,DH,E06000038,CD,2045
36,DH,E06000039,CD,2045
37,DH,E06000040,CD,2045
38,DH,E06000041,CD,2045
39,DH,E06000042,CD,2045
40,DH,E06000043,CD,2045
41,DH,E06000044,CD,2045
42,DH,E06000045,CD,2045
43,DH,E06000046,CD,2045
44,DH,E06000047,CD,2045
45,DH,E06000049,CD,2045
46,DH,E06000050,CD,2045
47,DH,E06000051,CD,2045
48,DH,E06000052,CD,2045
49,DH,E06000053,CD,2045
50,DH,E06000054,CD,2045
51,DH,E06000055,CD,2045
52,DH,E06000056,CD,2045
53,DH,E06000057,CD,2045
54,DH,E06000058,CD,2045
55,DH,E06000059,CD,2045
56,DH,E06000060,CD,2045
57,DH,E06000061,CD,2045
58,DH,E06000062,CD,2045
59,DH,E06000063,CD,2045
60,DH,E06000064,CD,2045
61,DH,E06000065,CD,2045
62,DH,E06000066,CD,2045
63,DH,E07000008,CD,2045
64,DH,E07000009,CD,2045
65,DH,E07000010,CD,2045
66,DH,E07000011,CD,2045
67,DH,E07000012,CD,2045
68,DH,E07000032,CD,2045
69,DH,E07000033,CD,2045
70,DH,E07000034,CD,2045
71,DH,E07000035,CD,2045
72,DH,E07000036,CD,2045
73,DH,E07000037,CD,2045
74,DH,E07000038,CD,2045
75,DH,E07000039,CD,2045
76,DH,E07000040,CD,2045
77,DH,E07000041,CD,2045
78,DH,E07000042,CD,2045
79,DH,E07000043,CD,2045
80,DH,E07000044,CD,2045
81,DH,E07000045,CD,2045
82,DH,E07000046,CD,2045
83,DH,E07000047,CD,2045
84,DH,E07000061,CD,2045
85,DH,E07000062,CD,2045
86,DH,E07000063,CD,2045
87,DH,E07000064,CD,2045
88,DH,E07000065,CD,2045
89,DH,E07000066,CD,2045
90,DH,E07000067,CD,2045
91,DH,E07000068,CD,2045
92,DH,E07000069,CD,2045
93,DH,E07000070,CD,2045
94,DH,E07000071,CD,2045
95,DH,E07000072,CD,2045
96,DH,E07000073,CD,2045
97,DH,E07000074,CD,2045
98,DH,E07000075,CD,2045
99,DH,E07000076,CD,2045
100,DH,E07000077,CD,2045
101,DH,E07000078,CD,2045
102,DH,E07000079,CD,2045
103,DH,E07000080,CD,2045
104,DH,E07000081,CD,2045
105,DH,E07000082,CD,2045
106,DH,E07000083,CD,2045
107,DH,E07000084,CD,2045
108,DH,E07000085,CD,2045
109,DH,E07000086,CD,2045
110,DH,E07000087,CD,2045
111,DH,E07000088,CD,2045
112,DH,E07000089,CD,2045
113,DH,E07000090,CD,2045
114,DH,E07000091,CD,2045
115,DH,E07000092,CD,2045
116,DH,E07000093,CD,2045
117,DH,E07000094,CD,2045
118,DH,E07000095,CD,2045
119,DH,E07000096,CD,2045
120,DH,E07000098,CD,2045
121,DH,E07000099,CD,2045
122,DH,E07000102,CD,2045
123,DH,E07000103,CD,2045
124,DH,E07000105,CD,2045
125,DH,E07000106,CD,2045
126,DH,E07000107,CD,2045
127,DH,E07000108,CD,2045
128,DH,E07000109,CD,2045
129,DH,E07000110,CD,2045
130,DH,E07000111,CD,2045
131,DH,E07000112,CD,2045
132,DH,E07000113,CD,2045
133,DH,E07000114,CD,2045
134,DH,E07000115,CD,2045
135,DH,E07000116,CD,2045
136,DH,E07000117,CD,2045
137,DH,E07000118,CD,2045
138,DH,E07000119,CD,2045
139,DH,E07000120,CD,2045
140,DH,E07000121,CD,2045
141,DH,E07000122,CD,2045
142,DH,E07000123,CD,2045
143,DH,E07000124,CD,2045
144,DH,E07000125,CD,2045
145,DH,E07000126,CD,2045
146,DH,E07000127,CD,2045
147,DH,E07000128,CD,2045
148,DH,E07000129,CD,2045
149,DH,E07000130,CD,2045
150,DH,E07000131,CD,2045
151,DH,E07000132,CD,2045
152,DH,E07000133,CD,2045
153,DH,E07000134,CD,2045
154,DH,E07000135,CD,2045
155,DH,E07000136,CD,2045
156,DH,E07000137,CD,2045
157,DH,E07000138,CD,2045
158,DH,E07000139,CD,2045
159,DH,E07000140,CD,2045
160,DH,E07000141,CD,2045
161,DH,E07000142,CD,2045
162,DH,E07000143,CD,2045
163,DH,E07000144,CD,2045
164,DH,E07000145,CD,2045
165,DH,E07000146,CD,2045
166,DH,E07000147,CD,2045
167,DH,E07000148,CD,2045
168,DH,E07000149,CD,2045
169,DH,E07000170,CD,2045
170,DH,E07000171,CD,2045
171,DH,E07000172,CD,2045
172,DH,E07000173,CD,2045
173,DH,E07000174,CD,2045
174,DH,E07000175,CD,2045
175,DH,E07000176,CD,2045
176,DH,E07000177,CD,2045
177,DH,E07000178,CD,2045
178,DH,E07000179,CD,2045
179,DH,E07000180,CD,2045
180,DH,E07000181,CD,2045
181,DH,E07000192,CD,2045
182,DH,E07000193,CD,2045
183,DH,E07000194,CD,2045
184,DH,E07000195,CD,2045
185,DH,E07000196,CD,2045
186,DH,E07000197,CD,2045
187,DH,E07000198,CD,2045
188,DH,E07000199,CD,2045
189,DH,E07000200,CD,2045
190,DH,E07000202,CD,2045
191,DH,E07000203,CD,2045
192,DH,E07000207,CD,2045
193,DH,E07000208,CD,2045
194,DH,E07000209,CD,2045
195,DH,E07000210,CD,2045
196,DH,E07000211,CD,2045
197,DH,E07000212,CD,2045
198,DH,E07000213,CD,2045
199,DH,E07000214,CD,2045
200,DH,E07000215,CD,2045
201,DH,E07000216,CD,2045
202,DH,E07000217,CD,2045
203,DH,E07000218,CD,2045
204,DH,E07000219,CD,2045
205,DH,E07000220,CD,2045
206,DH,E07000221,CD,2045
207,DH,E07000222,CD,2045
208,DH,E07000223,CD,2045
209,DH,E07000224,CD,2045
210,DH,E07000225,CD,2045
211,DH,E07000226,CD,2045
212,DH,E07000227,CD,2045
213,DH,E07000228,CD,2045
214,DH,E07000229,CD,2045
215,DH,E07000234,CD,2045
216,DH,E07000235,CD,2045
217,DH,E07000236,CD,2045
218,DH,E07000237,CD,2045
219,DH,E07000238,CD,2045
220,DH,E07000239,CD,2045
221,DH,E07000240,CD,2045
222,DH,E07000241,CD,2045
223,DH,E07000242,CD,2045
224,DH,E07000243,CD,2045
225,DH,E07000244,CD,2045
226,DH,E07000245,CD,2045
227,DH,E08000001,CD,2045
228,DH,E08000002,CD,2045
229,DH,E08000003,CD,2045
230,DH,E08000004,CD,2045
231,DH,E08000005,CD,2045
232,DH,E08000006,CD,2045
233,DH,E08000007,CD,2045
234,DH,E08000008,CD,2045
235,DH,E08000009,CD,2045
236,DH,E08000010,CD,2045
237,DH,E08000011,CD,2045
238,DH,E08000012,CD,2045
239,DH,E08000013,CD,2045
240,DH,E08000014,CD,2045
241,DH,E08000015,CD,2045
242,DH,E08000016,CD,2045
243,DH,E08000017,CD,2045
244,DH,E08000018,CD,2045
245,DH,E08000019,CD,2045
246,DH,E08000021,CD,2045
247,DH,E08000022,CD,2045
248,DH,E08000023,CD,2045
249,DH,E08000024,CD,2045
250,DH,E08000025,CD,2045
251,DH,E08000026,CD,2045
252,DH,E08000027,CD,2045
253,DH,E08000028,CD,2045
254,DH,E08000029,CD,2045
255,DH,E08000030,CD,2045
256,DH,E08000031,CD,2045
257,DH,E08000032,CD,2045
258,DH,E08000033,CD,2045
259,DH,E08000034,CD,2045
260,DH,E08000035,CD,2045
261,DH,E08000036,CD,2045
262,DH,E08000037,CD,2045
263,DH,E09000001,CD,2040
264,DH,E09000002,CD,2045
265,DH,E09000003,CD,2045
266,DH,E09000004,CD,2045
267,DH,E09000005,CD,2045
268,DH,E09000006,CD,2045
269,DH,E09000007,CD,2045
270,DH,E09000008,CD,2045
271,DH,E09000009,CD,2045
272,DH,E09000010,CD,2045
273,DH,E09000011,CD,2045
274,DH,E09000012,CD,2050
275,DH,E09000013,CD,2045
276,DH,E09000014,CD,2045
277,DH,E09000015,CD,2045
278,DH,E09000016,CD,2045
279,DH,E09000017,CD,2045
280,DH,E09000018,CD,2045
281,DH,E09000019,CD,2045
282,DH,E09000020,CD,2045
283,DH,E09000021,CD,2045
284,DH,E09000022,CD,2045
285,DH,E09000023,CD,2045
286,DH,E09000024,CD,2045
287,DH,E09000025,CD,2045
288,DH,E09000026,CD,2045
289,DH,E09000027,CD,2045
290,DH,E09000028,CD,2050
291,DH,E09000029,CD,2045
292,DH,E09000030,CD,2050
293,DH,E09000031,CD,2045
294,DH,E09000032,CD,2050
295,DH,E09000033,CD,2045
296,DH,S12000005,CD,2045
297,DH,S12000006,CD,2045
298,DH,S12000008,CD,2045
299,DH,S12000010,CD,2045
300,DH,S12000011,CD,2045
301,DH,S12000013,CD,2040
302,DH,S12000014,CD,2045
303,DH,S12000017,CD,2045
304,DH,S12000018,CD,2045
305,DH,S12000019,CD,2045
306,DH,S12000020,CD,2045
307,DH,S12000021,CD,2045
308,DH,S12000023,CD,2040
309,DH,S12000026,CD,2045
310,DH,S12000027,CD,2040
311,DH,S12000028,CD,2045
312,DH,S12000029,CD,2045
313,DH,S12000030,CD,2045
314,DH,S12000033,CD,2045
315,DH,S12000034,CD,2045
316,DH,S12000035,CD,2045
317,DH,S12000036,CD,2045
318,DH,S12000038,CD,2045
319,DH,S12000039,CD,2045
320,DH,S12000040,CD,2045
321,DH,S12000041,CD,2045
322,DH,S12000042,CD,2045
323,DH,S12000045,CD,2045
324,DH,S12000047,CD,2045
325,DH,S12000048,CD,2045
326,DH,S12000049,CD,2045
327,DH,S12000050,CD,2045
328,DH,UK,CD,2045
329,DH,W06000001,CD,2045
330,DH,W06000002,CD,2045
331,DH,W06000003,CD,2045
332,DH,W06000004,CD,2045
333,DH,W06000005,CD,2045
334,DH,W06000006,CD,2045
335,DH,W06000008,CD,2045
336,DH,W06000009,CD,2045
337,DH,W06000010,CD,2045
338,DH,W06000011,CD,2045
339,DH,W06000012,CD,2045
