REGION,TECHNOLOGY,RUN,VALUE
E06000001,Building Heat Dist.,nz-2040_hp-00,21.898792243189565
E06000001,Building Heat Dist.,nz-2040_hp-01,22.28653333170301
E06000001,Building Heat Dist.,nz-2045_hp-00,22.568409154134386
E06000001,Building Heat Dist.,nz-2045_hp-01,21.602498794511387
E06000001,Building Heat Dist.,nz-2050_hp-00,15.159425735304586
E06000001,Building Heat Dist.,nz-2050_hp-01,13.536927688001898
E06000001,Building Heat Eff.,nz-2040_hp-00,3.97063249302621
E06000001,Building Heat Eff.,nz-2040_hp-01,3.79293073801493
E06000001,Building Heat Eff.,nz-2045_hp-00,3.8150334725836172
E06000001,Building Heat Eff.,nz-2045_hp-01,3.812366568973319
E06000001,Building Heat Eff.,nz-2050_hp-00,2.926506924596135
E06000001,Building Heat Eff.,nz-2050_hp-01,5.133179970343177
E06000001,Building Heat Gen.,nz-2040_hp-00,139.79073439215543
E06000001,Building Heat Gen.,nz-2040_hp-01,140.67683728447676
E06000001,Building Heat Gen.,nz-2045_hp-00,142.15880637121546
E06000001,Building Heat Gen.,nz-2045_hp-01,133.49222599968977
E06000001,Building Heat Gen.,nz-2050_hp-00,92.05943439201775
E06000001,Building Heat Gen.,nz-2050_hp-01,101.54671325359877
E06000001,DH systems,nz-2040_hp-00,0.36975469975358405
E06000001,DH systems,nz-2040_hp-01,1.0973095844801226
E06000001,DH systems,nz-2045_hp-00,1.3286857887614707
E06000001,DH systems,nz-2045_hp-01,2.318742329898314
E06000001,DH systems,nz-2050_hp-00,3.170108484222833
E06000001,DH systems,nz-2050_hp-01,7.125940213547955
E06000001,Others,nz-2040_hp-00,0.003515920964671916
E06000001,Others,nz-2040_hp-01,0.003515762720844576
E06000001,Others,nz-2045_hp-00,0.00351569134147541
E06000001,Others,nz-2045_hp-01,0.003515716778031444
E06000001,Others,nz-2050_hp-00,0.0035155425652130725
E06000001,Others,nz-2050_hp-01,0.003515806822451308
E06000001,Supply,nz-2040_hp-00,0.05777465185302316
E06000001,Supply,nz-2040_hp-01,0.10925885008878634
E06000001,Supply,nz-2045_hp-00,0.11708133870972115
E06000001,Supply,nz-2045_hp-01,0.16231939658591582
E06000001,Supply,nz-2050_hp-00,0.08356449053328723
E06000001,Supply,nz-2050_hp-01,0.4287250001355041
E06000001,T&D (except DH),nz-2040_hp-00,75.65661743696104
E06000001,T&D (except DH),nz-2040_hp-01,76.68728244924881
E06000001,T&D (except DH),nz-2045_hp-00,75.57142813182679
E06000001,T&D (except DH),nz-2045_hp-01,75.58744853000947
E06000001,T&D (except DH),nz-2050_hp-00,75.10397767120602
E06000001,T&D (except DH),nz-2050_hp-01,79.14711158842826
E06000002,Building Heat Dist.,nz-2040_hp-00,33.53425564879191
E06000002,Building Heat Dist.,nz-2040_hp-01,33.740299104209896
E06000002,Building Heat Dist.,nz-2045_hp-00,34.22263942836791
E06000002,Building Heat Dist.,nz-2045_hp-01,35.48025519933798
E06000002,Building Heat Dist.,nz-2050_hp-00,23.081402095296966
E06000002,Building Heat Dist.,nz-2050_hp-01,20.570119699886412
E06000002,Building Heat Eff.,nz-2040_hp-00,6.8429462406516395
E06000002,Building Heat Eff.,nz-2040_hp-01,6.791719377248709
E06000002,Building Heat Eff.,nz-2045_hp-00,6.694536112952675
E06000002,Building Heat Eff.,nz-2045_hp-01,7.961463285922772
E06000002,Building Heat Eff.,nz-2050_hp-00,5.232158023457375
E06000002,Building Heat Eff.,nz-2050_hp-01,8.381230062969959
E06000002,Building Heat Gen.,nz-2040_hp-00,212.26046371163832
E06000002,Building Heat Gen.,nz-2040_hp-01,208.84601684835266
E06000002,Building Heat Gen.,nz-2045_hp-00,210.92414314992487
E06000002,Building Heat Gen.,nz-2045_hp-01,224.3638635363247
E06000002,Building Heat Gen.,nz-2050_hp-00,130.59112467333995
E06000002,Building Heat Gen.,nz-2050_hp-01,143.5805492453293
E06000002,DH systems,nz-2040_hp-00,0.5167632121870458
E06000002,DH systems,nz-2040_hp-01,2.6995128471564045
E06000002,DH systems,nz-2045_hp-00,4.143907653371638
E06000002,DH systems,nz-2045_hp-01,4.501424421013155
E06000002,DH systems,nz-2050_hp-00,13.266516656300189
E06000002,DH systems,nz-2050_hp-01,25.255255251511848
E06000002,Others,nz-2040_hp-00,0.006061782063074203
E06000002,Others,nz-2040_hp-01,0.006061636948182996
E06000002,Others,nz-2045_hp-00,0.006061491940365376
E06000002,Others,nz-2045_hp-01,580.6480384369167
E06000002,Others,nz-2050_hp-00,0.006061299379244379
E06000002,Others,nz-2050_hp-01,0.006061865752959126
E06000002,Supply,nz-2040_hp-00,0.10911304134735908
E06000002,Supply,nz-2040_hp-01,0.16525488811422412
E06000002,Supply,nz-2045_hp-00,0.18469945596587023
E06000002,Supply,nz-2045_hp-01,0.2586055959507819
E06000002,Supply,nz-2050_hp-00,0.11009256061011083
E06000002,Supply,nz-2050_hp-01,0.19225099424958295
E06000002,T&D (except DH),nz-2040_hp-00,94.95246241819835
E06000002,T&D (except DH),nz-2040_hp-01,96.66960113466453
E06000002,T&D (except DH),nz-2045_hp-00,94.81775442635868
E06000002,T&D (except DH),nz-2045_hp-01,95.01804150624284
E06000002,T&D (except DH),nz-2050_hp-00,94.33494583320669
E06000002,T&D (except DH),nz-2050_hp-01,98.4777907422994
E06000003,Building Heat Dist.,nz-2040_hp-00,31.179748478943008
E06000003,Building Heat Dist.,nz-2040_hp-01,30.111668450449013
E06000003,Building Heat Dist.,nz-2045_hp-00,29.119096736995633
E06000003,Building Heat Dist.,nz-2045_hp-01,31.13687987166238
E06000003,Building Heat Dist.,nz-2050_hp-00,21.96460346458668
E06000003,Building Heat Dist.,nz-2050_hp-01,18.688975283731818
E06000003,Building Heat Eff.,nz-2040_hp-00,5.257455267463942
E06000003,Building Heat Eff.,nz-2040_hp-01,4.814172138420821
E06000003,Building Heat Eff.,nz-2045_hp-00,4.253394327312924
E06000003,Building Heat Eff.,nz-2045_hp-01,6.8879395661818785
E06000003,Building Heat Eff.,nz-2050_hp-00,3.5391931905201197
E06000003,Building Heat Eff.,nz-2050_hp-01,6.603461592665777
E06000003,Building Heat Gen.,nz-2040_hp-00,192.59122606876664
E06000003,Building Heat Gen.,nz-2040_hp-01,173.20131746066028
E06000003,Building Heat Gen.,nz-2045_hp-00,164.63043309840347
E06000003,Building Heat Gen.,nz-2045_hp-01,172.9958730722757
E06000003,Building Heat Gen.,nz-2050_hp-00,117.70457937567991
E06000003,Building Heat Gen.,nz-2050_hp-01,113.90312261559744
E06000003,DH systems,nz-2040_hp-00,1.3126571427390894
E06000003,DH systems,nz-2040_hp-01,17.163420597401227
