RUN,TECHNOLOGY,YEAR,VALUE
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2015,0.0
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2023,0.005734533973136045
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2025,0.1965268493589884
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2030,0.7009594476459465
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2035,1.1444020803573915
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2040,1.5326643581433572
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2045,0.9189935547187013
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2050,1.1968523240894866
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2055,1.5119877813900051
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2015,0.0
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2023,0.2770751312003613
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2025,0.3202350116262294
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2030,0.660227629768323
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2035,1.1090668140404842
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2040,1.4270863314777191
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2045,1.0435853313018164
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2050,1.1546950602588744
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2055,1.432779201844847
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2015,0.0
